id;titulo;numero;sinopsis;logline;caratula;duracion;vimeo_id
1;invoice Sleek Steel Chicken;42663;parallelism USB;Ball revolutionize;Park matrix;12608;matrix
2;Rustic Concrete Ball Movies;37888;PNG;synthesizing;auxiliary International;79399;open-source
3;lavender;50561;synergistic;Practical Fresh Pizza Senior;Unbranded architect Cotton;60780;user-facing national
4;Coves Shoes;80819;Checking Account Industrial payment;salmon ivory;withdrawal Executive Kids;69191;Practical client-server COM
5;mobile Incredible Metal Tuna Auto Loan Account;87454;synergistic Intelligent Rubber Computer access;black Camp;hacking Paradigm;82949;leading edge needs-based
6;next generation Assurance Soap;41340;leverage;Credit Card Account;Mississippi Pennsylvania;43838;Germany
7;Wallis and Futuna Music;49454;seize firewall;ADP Trafficway;partnerships;19956;Towels
8;alarm wireless;33305;Licensed;withdrawal deposit bluetooth;Checking Account backing up;51950;architect Small Frozen Keyboard hacking
9;Computer middleware;53308;Legacy New Israeli Sheqel feed;Wisconsin Albania firewall;foreground copying payment;82562;array
10;reboot;67293;Texas withdrawal;violet;green Refined;32021;Rubber Reactive
