id;titulo;cant_temporadas;fecha_publicacion;caratula
1;Costa Rican Colon;30732;open-source;Associate
2;bandwidth Gloves;89447;Global Representative;Georgia Democratic People's Republic of Korea
3;teal Colorado;87221;open-source alarm;Director blue Assistant
4;Home;37989;SSL Garden Cedi;Jewelery Libyan Dinar
5;Tactics Incredible Wooden Hat;99205;Cotton proactive;Customizable
6;Business-focused;82556;productize haptic;Fantastic Automotive
7;Malagasy Ariary;69703;Diverse mission-critical deposit;Bacon
8;Clothing Executive Branding;12508;Cambridgeshire Arkansas;innovate Functionality Tasty
9;transmit;95593;Buckinghamshire Credit Card Account;Avon Berkshire
10;RSS;69613;Ergonomic Garden Cotton;Electronics Inverse Brook
